发送时间戳,当前时间戳,延迟差(ms)
1733300550127,1733300550137,10
1733300550131,1733300550139,8
1733300550130,1733300550139,9
1733300550129,1733300550140,11
1733300550132,1733300550147,15
1733300550136,1733300550147,11
1733300550129,1733300550147,18
1733300550137,1733300550148,11
1733300550140,1733300550148,8
1733300550140,1733300550148,8
1733300550129,1733300550148,19
1733300550137,1733300550148,11
1733300550142,1733300550149,7
1733300550136,1733300550149,13
1733300550136,1733300550149,13
1733300550143,1733300550149,6
1733300550143,1733300550152,9
1733300550134,1733300550153,19
1733300550145,1733300550153,8
1733300550147,1733300550153,6
1733300550146,1733300550154,8
1733300550147,1733300550156,9
1733300550121,1733300550161,40
1733300550151,1733300550162,11
1733300550149,1733300550162,13
1733300550149,1733300550166,17
1733300550149,1733300550166,17
1733300550151,1733300550166,15
1733300550157,1733300550166,9
1733300550157,1733300550168,11
1733300550159,1733300550168,9
1733300550158,1733300550168,10
1733300550160,1733300550168,8
1733300550165,1733300550168,3
1733300550162,1733300550170,8
1733300550167,1733300550175,8
1733300550165,1733300550175,10
1733300550155,1733300550176,21
1733300550170,1733300550176,6
1733300550153,1733300550184,31
1733300550174,1733300550204,30
1733300550172,1733300550205,33
1733300550172,1733300550206,34
1733300550180,1733300550206,26
1733300550180,1733300550206,26
1733300550174,1733300550206,32
1733300550180,1733300550208,28
1733300550177,1733300550208,31
1733300550176,1733300550208,32
1733300550178,1733300550209,31
1733300550190,1733300550209,19
1733300550176,1733300550210,34
1733300550176,1733300550210,34
1733300550193,1733300550210,17
1733300550188,1733300550210,22
1733300550195,1733300550210,15
1733300550192,1733300550211,19
1733300550198,1733300550211,13
1733300550201,1733300550211,10
1733300550183,1733300550211,28
1733300550199,1733300550211,12
1733300550174,1733300550211,37
1733300550174,1733300550212,38
1733300550197,1733300550212,15
1733300550200,1733300550212,12
1733300550187,1733300550212,25
1733300550197,1733300550212,15
1733300550193,1733300550212,19
1733300550195,1733300550213,18
1733300550189,1733300550225,36
1733300550184,1733300550226,42
1733300550208,1733300550238,30
1733300550204,1733300550241,37
1733300550220,1733300550243,23
1733300550210,1733300550244,34
1733300550217,1733300550244,27
1733300550223,1733300550244,21
1733300550224,1733300550245,21
1733300550219,1733300550245,26
1733300550211,1733300550245,34
1733300550219,1733300550247,28
1733300550218,1733300550247,29
1733300550218,1733300550247,29
1733300550225,1733300550258,33
1733300550234,1733300550258,24
1733300550232,1733300550259,27
1733300550232,1733300550259,27
1733300550237,1733300550259,22
1733300550220,1733300550260,40
1733300550217,1733300550260,43
1733300550213,1733300550260,47
1733300550238,1733300550260,22
1733300550220,1733300550261,41
1733300550233,1733300550262,29
1733300550239,1733300550262,23
1733300550236,1733300550262,26
1733300550239,1733300550262,23
1733300550217,1733300550262,45
1733300550233,1733300550263,30
1733300550241,1733300550263,22
1733300550242,1733300550263,21
1733300550208,1733300550263,55
1733300550242,1733300550263,21
1733300550251,1733300550266,15
1733300550246,1733300550266,20
1733300550254,1733300550267,13
1733300550254,1733300550267,13
1733300550254,1733300550267,13
1733300550244,1733300550267,23
1733300550252,1733300550268,16
1733300550246,1733300550268,22
1733300550253,1733300550268,15
1733300550251,1733300550270,19
1733300550250,1733300550273,23
1733300550258,1733300550273,15
1733300550245,1733300550274,29
1733300550257,1733300550277,20
1733300550258,1733300550278,20
1733300550254,1733300550278,24
1733300550257,1733300550280,23
1733300550261,1733300550280,19
1733300550262,1733300550280,18
1733300550259,1733300550281,22
1733300550265,1733300550281,16
1733300550259,1733300550281,22
1733300550260,1733300550282,22
1733300550265,1733300550283,18
1733300550260,1733300550283,23
1733300550265,1733300550283,18
1733300550265,1733300550284,19
1733300550269,1733300550284,15
1733300550267,1733300550285,18
1733300550268,1733300550285,17
1733300550269,1733300550285,16
1733300550268,1733300550285,17
1733300550272,1733300550286,14
1733300550273,1733300550286,13
1733300550273,1733300550286,13
1733300550273,1733300550286,13
1733300550262,1733300550286,24
1733300550272,1733300550287,15
1733300550268,1733300550287,19
1733300550270,1733300550287,17
1733300550277,1733300550287,10
1733300550263,1733300550288,25
1733300550277,1733300550290,13
1733300550279,1733300550291,12
1733300550279,1733300550291,12
1733300550280,1733300550292,12
1733300550284,1733300550294,10
1733300550282,1733300550294,12
1733300550283,1733300550294,11
1733300550285,1733300550295,10
1733300550277,1733300550295,18
1733300550285,1733300550295,10
1733300550286,1733300550295,9
1733300550290,1733300550295,5
1733300550291,1733300550295,4
1733300550291,1733300550295,4
1733300550292,1733300550295,3
1733300550294,1733300550296,2
1733300550293,1733300550299,6
1733300550297,1733300550300,3
1733300550296,1733300550301,5
1733300550300,1733300550306,6
1733300550300,1733300550306,6
1733300550300,1733300550306,6
1733300550302,1733300550306,4
1733300550301,1733300550306,5
1733300550300,1733300550307,7
1733300550304,1733300550309,5
1733300550304,1733300550309,5
1733300550306,1733300550310,4
1733300550307,1733300550312,5
1733300550307,1733300550312,5
1733300550306,1733300550312,6
1733300550308,1733300550313,5
1733300550308,1733300550314,6
1733300550310,1733300550314,4
1733300550312,1733300550315,3
1733300550313,1733300550316,3
1733300550316,1733300550319,3
1733300550320,1733300550324,4
1733300550321,1733300550324,3
1733300550327,1733300550333,6
1733300550328,1733300550334,6
